puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-3.6
dotogether-a.lgp,T,-4,-3.5
dotogether-e.lgp,T,-3,-3.5
dotogether-d.lgp,T,-4,-3.5
dotogether-i.lgp,T,-3,-3.3
dotogether-f.lgp,T,-3,-2.9
dotogether-l.lgp,T,-4,-3.5
dotogether-k.lgp,T,5,-3.1
dotogether-c.lgp,T,-4,-0.5
dotogether-j.lgp,T,-4,-0.70000005
dotogether-h.lgp,T,-3,-1.2
repeat-gg.lgp,C,-3,-3.6
repeat-f.lgp,C,-1,-3.6
repeat-ee.lgp,C,-2,-2.8
repeat-m.lgp,C,-4,-3.1
repeat-a.lgp,C,-3,-3.2
repeat-g.lgp,C,-4,-3.3
repeat-dd.lgp,CbCe,5,4.3
repeat-b.lgp,C,-3,-2.8
repeat-cc.lgp,CbCe,5,3.8000002
repeat-e.lgp,C,-4,-2.4
repeat-dd.lgp,CbCe,5,4.3
repeat-c.lgp,CbCe,5,-0.099999905
repeat-dd.lgp,CbCe,5,4.3
repeat-cc.lgp,CbCe,5,3.8000002
repeat-c.lgp,CbCe,5,-0.099999905
repeat-c.lgp,CbCe,5,-0.099999905
repeat-c.lgp,CbCe,-2,-0.099999905
repeat-hh.lgp,CbCe,-3,0.5999999
