puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.7
dotogether-b.lgp,T,-3,-3.5
dotogether-o.lgp,T,-2,-2.9
dotogether-m.lgp,T,-3,-3.3
dotogether-n.lgp,T,-3,-3.4
dotogether-e.lgp,T,-3,-2.9
dotogether-d.lgp,T,-3,-3.5
dotogether-l.lgp,T,-3,-1.5
dotogether-c.lgp,T,-3,-1.5999999
dotogether-f.lgp,T,-2,-1.5999999
dotogether-j.lgp,T,-2,-1.5999999
dotogether-i.lgp,T,-1,-1.5
dotogether-g.lgp,T,-2,-0.5999999
dotogether-k.lgp,T,-2,-0.099999905
dotogether-h.lgp,T,-2,-0.20000005
repeat-e.lgp,C,-2,-3.2
repeat-ee.lgp,C,-3,-3.0
repeat-gg.lgp,C,-3,-3.2
repeat-m.lgp,C,-2,-3.4
repeat-f.lgp,C,-3,-2.1
repeat-a.lgp,C,-3,-3.0
repeat-b.lgp,C,-3,-2.9
repeat-g.lgp,C,-2,-3.0
repeat-dd.lgp,CbCe,-1,-0.79999995
repeat-cc.lgp,CbCe,-2,-1.3
repeat-hh.lgp,CbCe,-2,-0.79999995
repeat-ii.lgp,CbCe,-2,-1.0999999
repeat-c.lgp,CbCe,-2,-0.9000001
repeat-ff.lgp,CbCe,-3,-0.20000005
repeat-o.lgp,CbTe,-3,-2.1
repeat-n.lgp,CbTe,-3,-2.3
repeat-i.lgp,CbTe,-2,-2.0
repeat-j.lgp,CbTe,-2,-1.9000001
repeat-x.lgp,TbCe,-2,-1.0
repeat-l.lgp,TbCe,-3,-1.5
repeat-w.lgp,TbCe,-3,-1.5
repeat-q.lgp,TbCe,-1,-1.5999999
repeat-p.lgp,TbCe,-2,-1.4000001
repeat-y.lgp,TbCe,5,-1.0
repeat-y.lgp,TbCe,0,-1.0
repeat-s.lgp,CbTe/TbCe,-2,-0.5
repeat-z.lgp,CbTe/TbCe,1,-0.9
repeat-aa.lgp,CbTe/TbCe,-2,-1.3
doinorder-n.lgp,TbOe,-2,-1.5
doinorder-k.lgp,TbOe,-3,-3.0
doinorder-f.lgp,TbOe,-2,-3.1
doinorder-g.lgp,TbOe,-2,-1.0999999
doinorder-b.lgp,TbOe,-1,-0.099999905
